Oscilloscope Trace Export		
Festo Didactic LVDAC-EMS 3.21		
		
		
		Ch1		Ch2		Ch3		Ch4		Ch5		Ch6		Ch7		Ch8		
Time 		E1		I1		AI8		AI7		Pm		P1		Off		Off		
(ms)		(V)		(A)		(r/min)		(N·m)		(W)		(W)		()		()		
18.652		-214.8		0.002		21.8		0.0079		164.8		-0.5						
18.750		-200.0		0.000		16.7		0.0048		163.8		0.0						
18.848		-188.3		-0.004		25.7		0.0094		165.5		0.8						
18.945		-167.4		-0.006		18.0		0.0079		164.4		1.1						
19.043		-152.6		0.002		18.0		0.0063		164.1		-0.3						
19.141		-136.5		0.015		16.7		0.0063		164.0		-2.0						
19.238		-121.3		-0.008		18.0		0.0079		164.4		1.0						
19.336		-107.0		-0.002		18.0		0.0079		164.4		0.2						
19.434		-93.9		0.002		16.7		0.0079		164.2		-0.2						
19.531		-75.2		0.004		15.5		0.0063		163.8		-0.3						
19.629		-55.2		-0.006		16.7		0.0094		164.4		0.3						
19.727		-37.8		-0.004		19.3		0.0079		164.5		0.2						
19.824		-18.3		0.000		16.7		0.0033		163.5		0.0						
19.922		3.9		-0.004		12.9		0.0063		163.5		0.0						
20.020		22.6		0.021		16.7		0.0079		164.2		0.5						
20.117		43.5		0.008		23.1		0.0079		164.9		0.4						
20.215		61.3		-0.002		18.0		0.0079		164.4		-0.1						
20.313		80.0		0.013		18.0		0.0063		164.1		1.0						
20.410		100.0		0.010		16.7		0.0048		163.8		1.0						
20.508		115.7		0.008		14.2		0.0079		163.9		1.0						
20.605		135.7		0.008		16.7		0.0094		164.4		1.1						
20.703		154.8		0.002		20.6		0.0094		164.9		0.3						
20.801		170.9		0.002		15.5		0.0017		163.2		0.4						
20.898		186.1		-0.008		12.9		0.0094		164.0		-1.6						
20.996		203.5		-0.015		18.0		0.0094		164.6		-3.0						
21.094		217.4		-0.004		18.0		0.0079		164.4		-0.9						
21.191		228.3		-0.006		16.7		0.0079		164.2		-1.4						
21.289		242.6		-0.002		18.0		0.0079		164.4		-0.5						
21.387		257.8		0.002		18.0		0.0079		164.4		0.5						
21.484		271.3		0.008		18.0		0.0063		164.1		2.3						
21.582		285.7		0.002		16.7		0.0063		164.0		0.6						
21.680		298.3		0.002		16.7		0.0094		164.4		0.6						
21.777		310.4		-0.004		18.0		0.0094		164.6		-1.3						
21.875		321.7		0.002		16.7		0.0033		163.5		0.7						
21.973		333.9		0.000		15.5		0.0063		163.8		0.0						
22.070		342.2		-0.013		15.5		0.0079		164.1		-4.3						
22.168		354.3		0.000		21.8		0.0063		164.6		0.0						
22.266		364.3		0.002		16.7		0.0094		164.4		0.8						
22.363		375.7		0.002		18.0		0.0079		164.4		0.8						
22.461		387.0		0.015		16.7		0.0048		163.8		5.7						
22.559		393.0		-0.006		15.5		0.0063		163.8		-2.5						
22.656		402.6		0.000		0.2		0.0109		162.7		0.0						
22.754		418.7		-0.002		1.4		0.0063		162.2		-0.9						
22.852		427.4		-0.013		-3.7		0.0033		161.2		-5.4						
22.949		438.3		0.006		-5.0		0.0079		161.7		2.8						
23.047		450.0		0.000		-2.4		0.0063		161.7		0.0						
23.145		460.0		0.000		-2.4		0.0063		161.7		0.0						
23.242		470.9		0.000		0.2		0.0079		162.3		0.0						
23.340		480.9		-0.002		-2.4		0.0079		162.0		-1.0						
23.438		487.4		-0.008		-1.1		0.0079		162.1		-4.1						
23.535		496.5		0.006		-2.4		0.0063		161.7		3.1						
23.633		507.4		-0.008		-3.7		0.0048		161.4		-4.3						
23.730		515.2		0.004		-2.4		0.0048		161.5		2.2						
23.828		523.5		-0.004		-1.1		0.0048		161.7		-2.2						
23.926		533.0		-0.004		-2.4		0.0017		161.1		-2.2						
24.023		542.6		-0.006		-5.0		0.0033		161.0		-3.4						
24.121		550.0		0.006		-2.4		0.0048		161.5		3.5						
24.219		550.9		0.004		5.3		0.0033		162.2		2.3						
24.316		555.7		0.002		0.2		0.0063		162.0		1.2						
24.414		553.9		0.000		-1.1		0.0048		161.7		0.0						
24.512		556.5		0.002		-8.8		0.0017		160.3		1.2						
24.609		556.1		-0.002		-3.7		0.0033		161.2		-1.2						
24.707		556.1		0.000		-2.4		0.0063		161.7		0.0						
24.805		559.6		-0.004		0.2		0.0048		161.8		-2.3						
24.902		559.1		0.006		-2.4		-0.0013		160.6		3.5						
25.000		558.7		0.002		-2.4		0.0048		161.5		1.2						
25.098		556.1		-0.004		0.2		0.0063		162.0		-2.3						
25.195		550.9		0.000		-1.1		0.0048		161.7		0.0						
25.293		549.1		0.002		-2.4		0.0048		161.5		1.2						
25.391		542.2		-0.010		-2.4		0.0063		161.7		-5.7						
25.488		543.9		0.002		-1.1		0.0063		161.9		1.1						
25.586		536.5		0.002		-1.1		0.0048		161.7		1.1						
25.684		531.7		0.004		-2.4		0.0033		161.3		2.2						
25.781		523.5		-0.008		-2.4		0.0063		161.7		-4.4						
25.879		521.7		0.000		-1.1		0.0063		161.9		0.0						
25.977		513.0		-0.019		-1.1		-0.0029		160.6		-9.7						
26.074		503.0		0.000		-3.7		0.0017		160.9		0.0						
26.172		494.3		-0.006		-1.1		0.0079		162.1		-3.1						
26.270		485.2		-0.002		4.0		0.0048		162.3		-1.0						
26.367		475.7		0.002		-2.4		0.0048		161.5		1.0						
26.465		470.4		-0.004		-1.1		0.0063		161.9		-2.0						
26.563		459.1		-0.006		-1.1		0.0048		161.7		-2.9						
26.660		450.0		0.004		-3.7		0.0048		161.4		1.9						
26.758		442.2		-0.015		-1.1		0.0094		162.3		-6.5						
26.855		435.2		-0.004		2.7		0.0079		162.6		-1.8						
26.953		421.7		-0.013		-2.4		0.0002		160.9		-5.3						
27.051		414.8		-0.002		-2.4		0.0063		161.7		-0.9						
27.148		401.7		-0.015		0.2		0.0063		162.0		-5.9						
27.246		393.0		0.000		-1.1		0.0048		161.7		0.0						
27.344		385.7		0.004		-3.7		0.0048		161.4		1.6						
27.441		370.4		0.004		-2.4		0.0063		161.7		1.6						
27.539		363.5		0.002		-1.1		0.0048		161.7		0.8						
27.637		354.8		0.004		5.3		0.0033		162.2		1.5						
27.734		346.1		-0.006		15.5		0.0033		163.4		-2.2						
27.832		333.5		0.000		15.5		0.0079		164.1		0.0						
27.930		318.3		0.002		19.3		0.0063		164.3		0.7						
28.027		307.0		0.002		16.7		0.0048		163.8		0.6						
28.125		291.7		-0.006		12.9		0.0017		162.9		-1.8						
28.223		279.6		0.000		15.5		0.0063		163.8		0.0						
28.320		261.3		-0.006		20.6		0.0063		164.4		-1.6						
28.418		250.4		0.004		16.7		0.0063		164.0		1.1						
28.516		233.5		-0.002		16.7		0.0063		164.0		-0.5						
28.613		219.6		0.010		15.5		0.0048		163.6		2.3						
28.711		200.0		0.008		14.2		0.0048		163.5		1.7						
28.809		185.7		0.002		16.7		0.0079		164.2		0.4						
28.906		166.1		0.015		18.0		0.0063		164.1		2.4						
29.004		150.4		-0.002		15.5		0.0002		162.9		-0.3						
29.102		132.6		-0.015		12.9		0.0063		163.5		-1.9						
29.199		124.3		-0.002		18.0		0.0063		164.1		-0.3						
29.297		107.4		-0.008		16.7		0.0048		163.8		-0.9						
29.395		89.1		0.008		14.2		0.0048		163.5		0.7						
29.492		73.5		-0.008		15.5		0.0048		163.6		-0.6						
29.590		59.1		0.002		18.0		0.0048		163.9		0.1						
29.688		37.0		0.019		15.5		0.0033		163.4		0.7						
29.785		17.4		0.010		14.2		0.0017		163.0		0.2						
29.883		-0.9		0.006		15.5		0.0079		164.1		0.0						
29.980		-22.2		-0.010		18.0		0.0048		163.9		0.2						
30.078		-42.2		-0.006		16.7		0.0033		163.5		0.3						
30.176		-60.9		-0.002		12.9		-0.0013		162.4		0.1						
30.273		-78.7		-0.006		14.2		0.0048		163.5		0.5						
30.371		-97.4		0.002		16.7		0.0017		163.3		-0.2						
30.469		-116.5		-0.006		16.7		0.0048		163.8		0.7						
30.566		-136.5		-0.010		16.7		0.0048		163.8		1.4						
30.664		-154.3		-0.008		16.7		0.0033		163.5		1.3						
30.762		-173.0		-0.008		14.2		0.0048		163.5		1.5						
30.859		-187.0		0.000		15.5		0.0048		163.6		0.0						
30.957		-200.9		-0.002		19.3		0.0079		164.5		0.4						
31.055		-213.0		-0.002		15.5		0.0017		163.2		0.4						
31.152		-228.3		-0.006		14.2		0.0063		163.7		1.4						
31.250		-243.5		0.000		16.7		0.0048		163.8		0.0						
31.348		-258.7		0.004		14.2		0.0017		163.0		-1.1						
31.445		-271.3		0.002		15.5		0.0048		163.6		-0.6						
31.543		-283.5		0.000		14.2		0.0048		163.5		0.0						
31.641		-297.0		0.002		16.7		0.0033		163.5		-0.6						
31.738		-309.1		0.000		15.5		0.0048		163.6		0.0						
31.836		-321.3		-0.013		12.9		0.0017		162.9		4.0						
31.934		-331.3		-0.004		15.5		0.0063		163.8		1.4						
32.031		-346.1		-0.008		16.7		0.0079		164.2		2.9						
32.129		-354.8		0.004		16.7		0.0017		163.3		-1.5						
32.227		-366.1		-0.002		12.9		0.0017		162.9		0.8						
32.324		-376.5		0.013		14.2		0.0063		163.7		-4.7						
32.422		-385.2		-0.002		16.7		0.0063		164.0		0.8						
32.520		-396.5		0.002		16.7		0.0063		164.0		-0.8						
32.617		-404.3		-0.002		15.5		0.0048		163.6		0.8						
32.715		-419.1		0.006		-8.8		0.0033		160.6		-2.6						
32.813		-427.8		-0.006		-11.3		0.0033		160.3		2.7						
32.910		-438.3		0.008		-7.5		0.0063		161.1		-3.7						
33.008		-451.3		0.006		-7.5		0.0063		161.1		-2.8						
33.105		-461.3		-0.002		-8.8		0.0033		160.6		1.0						
33.203		-467.8		-0.002		-11.3		0.0048		160.5		1.0						
33.301		-481.3		-0.002		-8.8		0.0048		160.8		1.0						
33.398		-490.9		0.004		-8.8		0.0063		161.0		-2.1						
33.496		-499.6		0.010		-10.1		0.0048		160.6		-5.2						
33.594		-509.1		0.008		-8.8		0.0048		160.8		-4.3						
33.691		-517.4		0.004		-8.8		0.0033		160.6		-2.2						
33.789		-525.2		-0.006		-8.8		0.0033		160.6		3.3						
33.887		-534.3		0.006		-10.1		0.0033		160.4		-3.4						
33.984		-540.4		0.006		-8.8		0.0033		160.6		-3.4						
34.082		-552.6		0.000		-7.5		0.0048		160.9		0.0						
34.180		-552.6		0.002		-10.1		0.0017		160.2		-1.2						
34.277		-557.4		0.004		-11.3		0.0002		159.8		-2.3						
34.375		-557.4		0.004		-11.3		0.0048		160.5		-2.3						
34.473		-557.4		0.000		-8.8		0.0063		161.0		0.0						
34.570		-557.4		-0.006		-10.1		0.0017		160.2		3.5						
34.668		-561.3		-0.013		-8.8		0.0048		160.8		7.1						
34.766		-558.7		0.000		-8.8		0.0002		160.1		0.0						
34.863		-556.5		-0.006		-10.1		0.0017		160.2		3.5						
34.961		-557.8		-0.006		-8.8		0.0063		161.0		3.5						
35.059		-554.3		-0.002		-7.5		0.0033		160.7		1.2						
35.156		-553.0		-0.008		-7.5		0.0033		160.7		4.6						
35.254		-549.6		-0.010		-12.6		0.0048		160.3		5.8						
35.352		-550.4		-0.002		-8.8		0.0048		160.8		1.2						
35.449		-545.2		-0.002		-8.8		0.0017		160.3		1.1						
35.547		-540.0		-0.002		-10.1		0.0033		160.4		1.1						
35.645		-530.4		-0.002		-8.8		0.0033		160.6		1.1						
35.742		-525.7		0.002		-8.8		0.0033		160.6		-1.1						
35.840		-520.0		0.006		-10.1		0.0033		160.4		-3.3						
35.938		-510.4		0.010		-10.1		0.0017		160.2		-5.4						
36.035		-503.0		0.000		-10.1		0.0017		160.2		0.0						
36.133		-494.3		-0.010		-7.5		0.0079		161.4		5.2						
36.230		-487.8		-0.002		-6.2		0.0033		160.9		1.0						
36.328		-478.3		0.004		-11.3		-0.0013		159.6		-2.0						
36.426		-470.9		0.002		-12.6		0.0063		160.6		-1.0						
36.523		-462.2		0.004		-8.8		0.0125		161.9		-1.9						
36.621		-450.0		-0.004		-10.1		0.0048		160.6		1.9						
36.719		-446.1		0.000		-7.5		0.0048		160.9		0.0						
36.816		-436.1		-0.006		-8.8		0.0017		160.3		2.7						
36.914		-425.2		-0.010		-10.1		0.0017		160.2		4.5						
37.012		-414.3		0.010		-8.8		0.0048		160.8		-4.4						
37.109		-403.0		0.000		-7.5		0.0048		160.9		0.0						
37.207		-394.3		0.002		-7.5		0.0048		160.9		-0.8						
37.305		-384.8		0.002		-13.9		0.0033		160.0		-0.8						
37.402		-380.0		0.008		-7.5		0.0033		160.7		-3.2						
37.500		-365.7		0.017		-8.8		0.0048		160.8		-6.1						
37.598		-357.8		0.013		-10.1		0.0048		160.6		-4.5						
37.695		-345.7		0.000		9.1		0.0048		162.9		0.0						
37.793		-334.3		-0.002		11.6		0.0063		163.4		0.7						
37.891		-320.4		0.000		10.4		0.0033		162.8		0.0						
37.988		-306.1		-0.010		9.1		0.0017		162.4		3.2						
38.086		-294.8		-0.004		9.1		0.0079		163.3		1.2						
38.184		-281.3		0.002		12.9		0.0048		163.3		-0.6						
38.281		-264.8		-0.006		11.6		0.0017		162.7		1.7						
38.379		-251.3		0.002		7.8		0.0002		162.0		-0.5						
38.477		-235.2		-0.006		7.8		0.0063		162.9		1.5						
38.574		-222.2		0.008		9.1		-0.0121		160.4		-1.9						
38.672		-205.7		-0.006		9.1		0.0033		162.6		1.3						
38.770		-186.5		0.000		10.4		0.0033		162.8		0.0						
38.867		-170.9		0.006		9.1		0.0017		162.4		-1.1						
38.965		-153.0		-0.010		7.8		0.0002		162.0		1.6						
39.063		-139.1		0.002		10.4		0.0048		163.0		-0.3						
39.160		-124.8		0.002		11.6		0.0048		163.2		-0.3						
39.258		-109.6		0.004		11.6		0.0048		163.2		-0.5						
39.355		-95.2		0.004		5.3		0.0033		162.2		-0.4						
39.453		-77.4		-0.004		10.4		0.0033		162.8		0.3						
39.551		-58.7		-0.002		10.4		0.0017		162.6		0.1						
39.648		-36.5		-0.006		9.1		0.0017		162.4		0.2						
39.746		-17.4		-0.006		7.8		0.0033		162.5		0.1						
39.844		-0.4		0.015		10.4		0.0048		163.0		0.0						
39.941		21.3		0.002		10.4		0.0017		162.6		0.0						
40.039		40.0		0.004		9.1		0.0017		162.4		0.2						
40.137		55.2		0.006		7.8		0.0033		162.5		0.3						
40.234		73.5		0.010		10.4		0.0048		163.0		0.8						
40.332		94.8		0.004		10.4		0.0033		162.8		0.4						
40.430		111.3		-0.008		7.8		-0.0029		161.6		-0.9						
40.527		131.7		-0.002		7.8		0.0048		162.7		-0.3						
40.625		153.0		0.004		10.4		0.0017		162.6		0.6						
40.723		168.3		0.015		7.8		0.0033		162.5		2.5						
40.820		183.5		0.004		11.6		0.0033		162.9		0.8						
40.918		200.4		-0.008		9.1		0.0017		162.4		-1.7						
41.016		209.6		0.002		7.8		0.0017		162.3		0.4						
41.113		227.8		0.004		9.1		0.0063		163.1		1.0						
41.211		240.0		-0.008		11.6		0.0048		163.2		-2.0						
