Oscilloscope Trace Export		
Festo Didactic LVDAC-EMS 3.21		
		
		
		Ch1		Ch2		Ch3		Ch4		Ch5		Ch6		Ch7		Ch8		
Time 		E1		I1		AI8		AI7		Pm		P1		Off		Off		
(ms)		(V)		(A)		(r/min)		(N·m)		(W)		(W)		()		()		
26.367		476.5		0.416		0.0		0.0061		149.44		198.1						
26.465		470.4		0.422		1.3		0.0045		149.35		198.5						
26.563		459.1		0.430		-5.1		-0.0016		147.77		197.6						
26.660		451.7		0.447		-5.1		0.0045		148.68		202.0						
26.758		440.0		0.454		-3.8		0.0045		148.81		199.6						
26.855		429.1		0.458		-2.5		0.0030		148.72		196.4						
26.953		418.7		0.479		-3.8		0.0030		148.58		200.4						
27.051		409.1		0.491		-3.8		0.0030		148.58		201.0						
27.148		399.6		0.504		-2.5		0.0045		148.95		201.4						
27.246		392.2		0.510		-2.5		0.0045		148.95		200.1						
27.344		381.3		0.523		-5.1		0.0030		148.45		199.4						
27.441		375.7		0.542		-5.1		0.0030		148.45		203.5						
27.539		363.5		0.540		-2.5		0.0061		149.17		196.1						
27.637		353.0		0.561		-2.5		-0.0001		148.26		197.9						
27.734		340.4		0.586		-6.3		-0.0016		147.64		199.4						
27.832		330.4		0.592		-6.3		0.0045		148.54		195.7						
27.930		315.7		0.590		-1.2		-0.0062		147.49		186.2						
28.027		305.2		0.615		-2.5		0.0045		148.95		187.8						
28.125		292.6		0.632		-1.2		0.0030		148.85		184.9						
28.223		278.3		0.617		-2.5		0.0015		148.49		171.8						
28.320		260.4		0.655		-5.1		0.0015		148.22		170.6						
28.418		243.0		0.647		-3.8		0.0045		148.81		157.2						
28.516		229.6		0.655		-1.2		0.0030		148.85		150.4						
28.613		215.7		0.661		-5.1		-0.0016		147.77		142.6						
28.711		199.1		0.651		-7.6		0.0030		148.18		129.6						
28.809		177.4		0.661		-3.8		0.0030		148.58		117.3						
28.906		163.9		0.661		-2.5		0.0015		148.49		108.4						
29.004		148.7		0.659		-5.1		0.0015		148.22		98.0						
29.102		136.1		0.653		-3.8		0.0030		148.58		88.9						
29.199		119.6		0.674		-2.5		0.0015		148.49		80.6						
29.297		102.6		0.653		-5.1		-0.0001		148.00		67.0						
29.395		86.5		0.657		-5.1		-0.0016		147.77		56.9						
29.492		70.4		0.661		-5.1		0.0030		148.45		46.6						
29.590		50.9		0.651		-2.5		0.0030		148.72		33.1						
29.688		30.9		0.657		-2.5		0.0015		148.49		20.3						
29.785		12.2		0.655		-6.3		-0.0047		147.18		8.0						
29.883		-10.9		0.615		-6.3		0.0030		148.32		-6.7						
29.980		-27.4		0.624		-5.1		-0.0001		148.00		-17.1						
30.078		-47.4		0.624		-3.8		0.0015		148.36		-29.6						
30.176		-68.3		0.605		-2.5		0.0015		148.49		-41.3						
30.273		-85.7		0.607		-5.1		-0.0016		147.77		-52.0						
30.371		-109.6		0.594		-6.3		-0.0001		147.86		-65.1						
30.469		-123.9		0.577		-5.1		0.0030		148.45		-71.6						
30.566		-139.6		0.584		-1.2		0.0045		149.08		-81.5						
30.664		-160.0		0.563		-2.5		-0.0001		148.26		-90.0						
30.762		-176.5		0.550		-7.6		0.0015		147.96		-97.1						
30.859		-191.3		0.533		-3.8		0.0015		148.36		-102.0						
30.957		-203.9		0.527		-3.8		0.0015		148.36		-107.5						
31.055		-219.1		0.512		-5.1		0.0015		148.22		-112.3						
31.152		-232.6		0.514		-5.1		-0.0001		148.00		-119.7						
31.250		-250.0		0.504		-3.8		0.0030		148.58		-126.0						
31.348		-263.5		0.483		-2.5		0.0030		148.72		-127.2						
31.445		-277.8		0.483		-3.8		-0.0001		148.13		-134.2						
31.543		-289.1		0.468		-5.1		0.0030		148.45		-135.4						
31.641		-300.9		0.454		-3.8		0.0045		148.81		-136.5						
31.738		-316.1		0.445		-3.8		-0.0001		148.13		-140.7						
31.836		-327.0		0.426		-6.3		-0.0001		147.86		-139.4						
31.934		-336.5		0.409		-7.6		0.0045		148.41		-137.8						
32.031		-347.8		0.401		-5.1		-0.0016		147.77		-139.5						
32.129		-361.7		0.384		-6.3		0.0015		148.09		-139.0						
32.227		-373.5		0.370		-3.8		0.0045		148.81		-138.0						
32.324		-380.4		0.357		-5.1		0.0015		148.22		-135.8						
32.422		-392.2		0.340		-7.6		0.0015		147.96		-133.4						
32.520		-400.4		0.332		-5.1		0.0045		148.68		-132.8						
32.617		-413.5		0.323		-3.8		0.0030		148.58		-133.7						
32.715		-421.3		0.300		-6.3		0.0015		148.09		-126.5						
32.813		-432.6		0.286		-8.9		0.0030		148.05		-123.5						
32.910		-444.3		0.248		-3.8		0.0030		148.58		-110.1						
33.008		-449.1		0.237		-5.1		0.0015		148.22		-106.6						
33.105		-464.8		0.239		-6.3		-0.0001		147.86		-111.3						
33.203		-477.0		0.202		-6.3		-0.0001		147.86		-96.1						
33.301		-483.9		0.189		-5.1		0.0030		148.45		-91.4						
33.398		-490.0		0.162		-5.1		0.0030		148.45		-79.2						
33.496		-500.9		0.139		-3.8		-0.0001		148.13		-69.4						
33.594		-509.6		0.126		-6.3		0.0015		148.09		-64.2						
33.691		-519.1		0.118		-3.8		0.0030		148.58		-61.0						
33.789		-528.7		0.080		-3.8		0.0030		148.58		-42.2						
33.887		-539.1		0.067		-6.3		-0.0016		147.64		-36.2						
33.984		-545.7		0.044		-8.9		0.0030		148.05		-24.1						
34.082		-554.8		0.017		-3.8		0.0015		148.36		-9.3						
34.180		-555.2		-0.015		-5.1		0.0030		148.45		8.2						
34.277		-558.3		-0.025		-3.8		-0.0016		147.90		14.1						
34.375		-557.0		-0.063		-5.1		-0.0031		147.54		35.1						
34.473		-560.4		-0.080		-6.3		-0.0016		147.64		44.7						
34.570		-557.8		-0.107		-6.3		-0.0016		147.64		59.7						
34.668		-557.8		-0.128		-3.8		-0.0001		148.13		71.4						
34.766		-556.1		-0.130		-5.1		-0.0016		147.77		72.4						
34.863		-556.1		-0.166		-8.9		-0.0016		147.37		92.2						
34.961		-559.1		-0.176		-5.1		-0.0016		147.77		98.6						
35.059		-554.8		-0.204		-5.1		-0.0016		147.77		113.0						
35.156		-555.7		-0.204		-6.3		-0.0016		147.64		113.2						
35.254		-553.5		-0.241		-5.1		-0.0016		147.77		133.6						
35.352		-547.8		-0.273		-5.1		-0.0016		147.77		149.5						
35.449		-543.5		-0.292		-3.8		-0.0016		147.90		158.6						
35.547		-537.0		-0.288		-6.3		-0.0047		147.18		154.5						
35.645		-532.6		-0.321		-6.3		-0.0016		147.64		171.1						
35.742		-528.7		-0.338		-3.8		0.0015		148.36		178.7						
35.840		-518.3		-0.349		-2.5		-0.0001		148.26		180.6						
35.938		-513.0		-0.361		-6.3		-0.0047		147.18		185.3						
36.035		-498.3		-0.380		-8.9		-0.0001		147.60		189.4						
36.133		-493.0		-0.403		-2.5		-0.0001		148.26		198.8						
36.230		-483.9		-0.405		-3.8		-0.0001		148.13		196.1						
36.328		-478.7		-0.414		-5.1		-0.0001		148.00		198.0						
36.426		-470.0		-0.430		-5.1		-0.0016		147.77		202.3						
36.523		-460.4		-0.437		-6.3		-0.0016		147.64		201.1						
36.621		-450.0		-0.462		-2.5		0.0015		148.49		207.9						
36.719		-441.7		-0.468		0.0		0.0030		148.99		206.8						
36.816		-429.1		-0.481		-1.2		0.0015		148.63		206.3						
36.914		-420.4		-0.485		-6.3		-0.0001		147.86		203.9						
37.012		-411.3		-0.496		-2.5		-0.0001		148.26		203.8						
37.109		-402.2		-0.517		-1.2		-0.0001		148.40		207.7						
37.207		-393.5		-0.523		-2.5		-0.0016		148.04		205.7						
37.305		-382.6		-0.529		-3.8		-0.0016		147.90		202.5						
37.402		-374.8		-0.544		-1.2		0.0015		148.63		203.8						
37.500		-364.8		-0.567		-1.2		-0.0001		148.40		206.8						
37.598		-352.6		-0.582		-3.8		-0.0016		147.90		205.1						
37.695		-340.9		-0.586		-5.1		-0.0016		147.77		199.7						
37.793		-326.5		-0.607		-1.2		0.0030		148.85		198.1						
37.891		-317.4		-0.605		0.0		-0.0001		148.53		191.9						
37.988		-305.7		-0.617		-2.5		-0.0031		147.81		188.7						
38.086		-293.5		-0.634		-6.3		-0.0001		147.86		186.1						
38.184		-277.0		-0.647		1.3		0.0045		149.35		179.1						
38.281		-262.6		-0.645		-25.5		-0.0001		145.86		169.3						
38.379		-244.3		-0.657		-2.5		0.0015		148.49		160.6						
38.477		-227.8		-0.651		-1.2		-0.0031		147.94		148.3						
38.574		-213.9		-0.668		-3.8		-0.0016		147.90		142.8						
38.672		-197.4		-0.659		-3.8		-0.0001		148.13		130.1						
38.770		-178.7		-0.668		-1.2		-0.0001		148.40		119.3						
38.867		-167.0		-0.672		0.0		-0.0001		148.53		112.2						
38.965		-148.3		-0.672		-6.3		-0.0001		147.86		99.6						
39.063		-133.5		-0.661		-3.8		-0.0016		147.90		88.3						
39.160		-119.1		-0.666		-2.5		-0.0001		148.26		79.3						
39.258		-104.3		-0.657		-3.8		-0.0016		147.90		68.6						
39.355		-89.1		-0.661		-2.5		-0.0016		148.04		59.0						
39.453		-71.3		-0.666		-3.8		-0.0016		147.90		47.5						
39.551		-51.3		-0.664		-1.2		-0.0001		148.40		34.0						
39.648		-28.7		-0.649		-3.8		-0.0016		147.90		18.6						
39.746		-11.3		-0.645		-3.8		-0.0016		147.90		7.3						
39.844		7.4		-0.640		-2.5		-0.0001		148.26		-4.7						
39.941		27.8		-0.638		-1.2		-0.0016		148.17		-17.8						
40.039		47.4		-0.613		-2.5		-0.0047		147.58		-29.1						
40.137		66.5		-0.594		-6.3		-0.0016		147.64		-39.5						
40.234		87.4		-0.592		0.0		0.0045		149.21		-51.7						
