Oscilloscope Trace Export		
Festo Didactic LVDAC-EMS 3.21		
		
		
		Ch1		Ch2		Ch3		Ch4		Ch5		Ch6		Ch7		Ch8		
Time 		E1		I1		AI8		AI7		Pm		P1		Off		Off		
(ms)		(V)		(A)		(r/min)		(N·m)		(W)		(W)		()		()		
36.719		-395.7		-1.602		-2.2		0.0024		235.1		633.9						
36.816		-388.7		-1.617		-3.5		0.0055		235.0		628.4						
36.914		-380.9		-1.638		0.4		0.0070		236.2		623.8						
37.012		-373.0		-1.667		1.7		0.0055		236.4		621.9						
37.109		-361.7		-1.671		1.7		0.0070		236.5		604.6						
37.207		-353.0		-1.692		2.9		0.0040		236.6		597.5						
37.305		-342.6		-1.722		-3.5		0.0024		234.7		589.9						
37.402		-335.7		-1.745		0.4		0.0055		236.1		585.7						
37.500		-328.3		-1.749		0.4		0.0024		235.8		574.2						
37.598		-319.6		-1.776		0.4		0.0024		235.8		567.7						
37.695		-309.1		-1.802		-2.2		0.0024		235.1		556.9						
37.793		-302.2		-1.816		0.4		0.0070		236.2		548.8						
37.891		-292.6		-1.833		2.9		0.0040		236.6		536.4						
37.988		-280.9		-1.831		-0.9		-0.0022		235.0		514.3						
38.086		-270.9		-1.831		-6.0		-0.0037		233.5		496.0						
38.184		-257.4		-1.846		-7.3		-0.0420		229.7		475.1						
38.281		-242.6		-1.850		-73.6		0.0070		216.1		448.8						
38.379		-227.8		-1.827		-0.9		0.0070		235.8		416.2						
38.477		-215.7		-1.837		-0.9		0.0086		236.0		396.2						
38.574		-202.2		-1.831		-0.9		0.0101		236.1		370.2						
38.672		-186.1		-1.831		0.4		0.0086		236.3		340.7						
38.770		-173.5		-1.810		-0.9		0.0086		236.0		314.0						
38.867		-155.2		-1.799		-0.9		0.0101		236.1		279.3						
38.965		-141.3		-1.789		0.4		0.0116		236.6		252.8						
39.063		-125.7		-1.776		1.7		0.0086		236.7		223.2						
39.160		-113.9		-1.772		0.4		0.0086		236.3		201.9						
39.258		-102.2		-1.747		-2.2		0.0944		243.4		178.5						
39.355		-89.1		-1.728		0.4		0.0070		236.2		154.0						
39.453		-75.2		-1.703		-0.9		0.0055		235.7		128.1						
39.551		-57.4		-1.686		-0.9		0.0070		235.8		96.8						
39.648		-41.7		-1.671		-0.9		0.0040		235.6		69.8						
39.746		-24.8		-1.627		-4.7		0.0055		234.7		40.3						
39.844		-5.7		-1.598		-2.2		0.0070		235.5		9.0						
39.941		14.3		-1.560		1.7		0.0070		236.5		-22.4						
40.039		29.6		-1.512		-0.9		0.0024		235.4		-44.7						
40.137		46.1		-1.482		-4.7		0.0070		234.8		-68.3						
40.234		60.9		-1.457		-0.9		0.0040		235.6		-88.7						
40.332		78.7		-1.426		-22.6		0.0055		229.8		-112.2						
40.430		97.4		-1.373		-0.9		0.0070		235.8		-133.7						
40.527		114.8		-1.340		-0.9		0.0086		236.0		-153.8						
40.625		128.3		-1.312		-0.9		0.0070		235.8		-168.3						
40.723		145.2		-1.270		-0.9		0.0070		235.8		-184.5						
40.820		160.0		-1.222		-2.2		0.0055		235.4		-195.5						
40.918		171.7		-1.186		-0.9		0.0070		235.8		-203.7						
41.016		183.5		-1.140		0.4		0.0116		236.6		-209.2						
41.113		193.0		-1.107		1.7		0.0070		236.5		-213.6						
41.211		209.6		-1.073		2.9		0.0162		237.7		-224.9						
41.309		225.7		-1.035		1.7		0.0024		236.1		-233.6						
41.406		235.7		-0.991		-0.9		0.0070		235.8		-233.5						
41.504		246.5		-0.960		-2.2		0.0040		235.2		-236.6						
41.602		259.1		-0.905		0.4		0.0070		236.2		-234.5						
41.699		272.2		-0.867		-0.9		0.0055		235.7		-236.0						
