Oscilloscope Trace Export		
Festo Didactic LVDAC-EMS 3.21		
		
		
		Ch1		Ch2		Ch3		Ch4		Ch5		Ch6		Ch7		Ch8		
Time 		E1		I1		AI8		AI7		Pm		P1		Off		Off		
(ms)		(V)		(A)		(r/min)		(N·m)		(W)		(W)		()		()		
10.352		-47.4		0.928		1.1		0.0024		53.4		-44.0						
10.449		-55.2		0.905		3.7		0.0039		53.7		-50.0						
10.547		-66.5		0.886		6.2		0.0055		54.0		-58.9						
10.645		-72.2		0.863		2.4		0.0009		53.4		-62.3						
10.742		-80.9		0.850		-0.2		0.0009		53.2		-68.8						
10.840		-90.9		0.834		2.4		0.0039		53.6		-75.7						
10.938		-99.1		0.817		10.0		0.0024		54.1		-81.0						
11.035		-104.3		0.787		3.7		0.0024		53.6		-82.2						
11.133		-111.3		0.775		3.7		0.0055		53.8		-86.2						
11.230		-117.0		0.756		2.4		0.0039		53.6		-88.4						
11.328		-127.0		0.729		3.7		0.0039		53.7		-92.5						
11.426		-130.9		0.714		1.1		0.0024		53.4		-93.4						
11.523		-137.0		0.685		2.4		0.0024		53.5		-93.7						
11.621		-143.9		0.668		4.9		0.0070		54.0		-96.1						
11.719		-149.6		0.636		3.7		0.0039		53.7		-95.2						
11.816		-157.4		0.615		3.7		-0.0007		53.4		-96.8						
11.914		-162.6		0.588		3.7		0.0024		53.6		-95.6						
12.012		-170.0		0.559		1.1		0.0024		53.4		-95.0						
12.109		-173.5		0.517		2.4		0.0024		53.5		-89.6						
12.207		-175.7		0.491		4.9		0.0055		53.9		-86.3						
12.305		-182.2		0.454		3.7		0.0039		53.7		-82.6						
12.402		-188.7		0.449		1.1		0.0024		53.4		-84.8						
12.500		-192.2		0.426		2.4		0.0070		53.8		-81.9						
12.598		-199.6		0.382		4.9		0.0055		53.9		-76.3						
12.695		-205.2		0.355		3.7		0.0024		53.6		-72.8						
12.793		-210.9		0.319		1.1		0.0024		53.4		-67.3						
12.891		-211.7		0.296		2.4		0.0024		53.5		-62.7						
12.988		-217.0		0.260		8.8		0.0039		54.1		-56.5						
13.086		-220.9		0.223		2.4		0.0039		53.6		-49.2						
