Time,E1,I1,E2,I2,E3,I3,AI8,Pm,Torque,Category
129.88,-203.9,1.07,336.2,0.59,-539.1,-1.86,1018.4,320.1,3,Over Current
130.86,-330,0.69,200.7,1.12,-523.5,-1.71,1018.4,319.9,3,Over Current
131.84,-434.8,0.23,41.7,1.65,-472.2,-1.39,1018.4,320.3,3,Over Current
132.81,-528.3,-0.28,-144.2,1.91,-378.3,-1.03,1017.1,319.7,3,Over Current
133.79,-537,-0.83,-284.5,1.87,-247,-0.72,1015.8,319.3,3,Over Current
134.77,-501.7,-1.46,-397.8,1.61,-100,-0.33,1018.4,319.9,3,Over Current
135.74,-424.8,-1.75,-494.7,1.29,71.3,0.2,1018.4,320.4,3,Over Current
136.72,-320,-1.94,-552.4,0.95,230.9,0.7,1017.1,319.7,3,Over Current
137.7,-170,-1.84,-526,0.49,353.5,1.2,1017.1,320,3,Over Current
138.67,-14.3,-1.5,-466.4,0.04,456.1,1.67,1015.8,319.5,3,Over Current
139.65,172.6,-1.13,-370.9,-0.48,543.5,1.85,1017.1,319.9,3,Over Current
140.63,307.4,-0.76,-231.9,-1.03,538.3,1.77,1015.8,319.1,3,Over Current
141.6,413,-0.35,-73.8,-1.59,492.6,1.46,1017.1,319.7,3,Over Current
142.58,505.2,0.18,102.1,-1.88,407,1.12,1017.1,319.9,3,Over Current
143.56,535.7,0.72,254.1,-1.93,283,0.8,981.4,305.6,3,Over Current
144.53,514.3,1.31,375.2,-1.72,138.7,0.41,1018.4,320.4,3,Over Current
145.51,447,1.75,468.6,-1.37,-24.3,-0.08,1006.9,313.3,3,Over Current
146.48,346.5,1.89,545.1,-1.05,-193.5,-0.63,1018.4,319.8,3,Over Current
147.46,203.5,1.91,529,-0.62,-324.3,-1.11,1013.3,317.2,3,Over Current
148.44,51.7,1.57,483.4,-0.16,-426.5,-1.59,1019.7,320.3,3,Over Current
149.41,-127,1.23,391.7,0.37,-513,-1.82,1018.4,319.8,3,Over Current
150.39,-280.4,0.84,257.1,0.86,-530.9,-1.83,1018.4,320.4,3,Over Current
151.37,-395.7,0.46,106,1.49,-497,-1.53,1018.4,320.3,3,Over Current
152.34,-489.1,-0.03,-63,1.84,-423.5,-1.18,1015.8,319.9,3,Over Current
153.32,-547,-0.62,-224.5,1.94,-309.1,-0.88,1015.8,319.6,3,Over Current
154.3,-523.9,-1.19,-353.1,1.76,-166.1,-0.53,1017.1,320,3,Over Current
155.27,-466.1,-1.68,-453.9,1.45,-7,-0.04,1019.7,320.8,3,Over Current
156.25,-368.3,-1.89,-532.5,1.13,167.4,0.51,1015.8,320.1,3,Over Current
157.23,-235.2,-1.99,-537.2,0.66,307,0.94,1015.8,319.8,3,Over Current
158.2,-88.7,-1.63,-499.9,0.3,412.6,1.54,1014.5,319.7,3,Over Current
159.18,87.4,-1.29,-414.3,-0.23,503,1.79,1015.8,319.8,3,Over Current
160.16,253.5,-0.94,-283.6,-0.77,540.4,1.87,1014.5,319.4,3,Over Current
161.13,367,-0.54,-147.2,-1.34,516.5,1.63,1015.8,319.8,3,Over Current
162.11,469.1,-0.07,20,-1.78,450.4,1.26,1015.8,319.8,3,Over Current
163.09,544.8,0.47,195.9,-1.95,351.3,0.93,1015.8,320.1,3,Over Current
164.06,533.5,1.08,324.9,-1.82,206.5,0.6,1000.5,309.5,3,Over Current
165.04,481.3,1.58,428.7,-1.53,50.4,0.16,1013.3,319.3,3,Over Current
166.02,390.4,1.82,522.9,-1.21,-127,-0.41,1009.4,316,3,Over Current
166.99,272.2,2,549,-0.76,-276.1,-0.83,1014.5,319.1,3,Over Current
167.97,117.4,1.69,509.9,-0.38,-387.8,-1.42,1013.3,318.5,3,Over Current
168.95,-47.4,1.36,432.1,0.11,-476.5,-1.75,1015.8,320.3,3,Over Current
169.92,-226.5,1.02,313.6,0.66,-536.1,-1.85,1014.5,319.4,3,Over Current
170.9,-344.3,0.63,181.1,1.24,-523.9,-1.69,1013.3,319.1,3,Over Current
171.88,-447.8,0.15,20.4,1.68,-460.4,-1.35,1012,318.7,3,Over Current
172.85,-536.5,-0.36,-165.5,1.92,-367,-1,1013.3,319.1,3,Over Current
173.83,-537.4,-0.93,-304.9,1.87,-228.7,-0.68,1015.8,319.9,3,Over Current
174.81,-496.5,-1.51,-411.7,1.56,-80.9,-0.24,1015.8,320.3,3,Over Current
175.78,-411.3,-1.78,-501.6,1.26,92.2,0.28,1014.5,320,3,Over Current
176.76,-304.8,-1.97,-556.8,0.88,253,0.77,1012,319.1,3,Over Current
177.73,-153.9,-1.78,-516,0.46,370,1.3,1013.3,319.5,3,Over Current
178.71,8.3,-1.45,-453.9,-0.02,462.6,1.7,1012,319.1,3,Over Current
179.69,188.3,-1.12,-353.5,-0.57,543.9,1.84,1014.5,320,3,Over Current
180.66,320.9,-0.71,-212.8,-1.08,533.5,1.75,1003.1,316.4,3,Over Current
181.64,426.1,-0.27,-55.6,-1.64,482.2,1.42,1017.1,320.8,3,Over Current
182.62,518.7,0.23,126.4,-1.91,396.1,1.06,1020.9,321.9,3,Over Current
183.59,536.5,0.79,274.9,-1.9,268.3,0.75,1015.8,320.4,3,Over Current
184.57,509.1,1.4,385.7,-1.65,124.3,0.38,1008.2,315.6,3,Over Current
185.55,433.9,1.73,483.8,-1.36,-48.7,-0.14,1018.4,320.7,3,Over Current
186.52,328.7,1.91,550.3,-1.01,-217,-0.66,1017.1,319.4,3,Over Current
187.5,184.3,1.87,524.6,-0.54,-336.1,-1.14,1022.2,322.4,3,Over Current
188.48,28.3,1.5,473.8,-0.12,-438.7,-1.64,1019.7,321.2,3,Over Current
189.45,-151.7,1.16,375.7,0.4,-523,-1.83,1019.7,321.8,3,Over Current
190.43,-298.3,0.81,240.2,0.94,-533.9,-1.79,1018.4,321.1,3,Over Current
191.41,-408.3,0.39,92.9,1.51,-488.3,-1.49,1018.4,321.1,3,Over Current
192.38,-501.3,-0.11,-91.2,1.83,-408.7,-1.14,1019.7,322,3,Over Current
193.36,-538.3,-0.65,-245.4,1.93,-290.4,-0.81,1019.7,321.8,3,Over Current
194.34,-520,-1.27,-364.4,1.7,-150,-0.46,1020.9,322.4,3,Over Current
195.31,-451.3,-1.7,-464.3,1.39,13.9,0.03,1020.9,322.7,3,Over Current
